datetime,rec_fcast,wpower,capacity
2018-03-31 00:00:00,797.53,846.77,2767.105
2018-03-31 00:15:00,820.68,938.58,2767.105
2018-03-31 00:30:00,843.84,945.24,2767.105
2018-03-31 00:45:00,866.99,980.13,2767.105
2018-03-31 01:00:00,888.91,981.46,2767.105
2018-03-31 01:15:00,909.6,1098.85,2767.105
2018-03-31 01:30:00,930.28,1087.25,2767.105
2018-03-31 01:45:00,950.97,1078.9,2767.105
2018-03-31 02:00:00,965.49,1097.79,2767.105
2018-03-31 02:15:00,973.82,1089.01,2767.105
2018-03-31 02:30:00,982.15,1050.37,2767.105
2018-03-31 02:45:00,990.48,1041.75,2767.105
2018-03-31 03:00:00,988.63,1100.96,2767.105
2018-03-31 03:15:00,976.57,1038.54,2767.105
2018-03-31 03:30:00,964.52,1007.38,2767.105
2018-03-31 03:45:00,952.47,993.21,2767.105
2018-03-31 04:00:00,939.15,944.36,2767.105
2018-03-31 04:15:00,924.6,889.2,2767.105
2018-03-31 04:30:00,910.05,800.15,2767.105
2018-03-31 04:45:00,895.5,744.89,2767.105
2018-03-31 05:00:00,878.14,723.32,2767.105
2018-03-31 05:15:00,857.97,779.6,2767.105
2018-03-31 05:30:00,837.79,765.54,2767.105
2018-03-31 05:45:00,817.62,719.01,2767.105
2018-03-31 06:00:00,730.92,726.65,2767.105
2018-03-31 06:15:00,719.59,711.83,2767.105
2018-03-31 06:30:00,708.25,665.89,2767.105
2018-03-31 06:45:00,696.92,632.66,2767.105
2018-03-31 07:00:00,683.23,636.67,2767.105
2018-03-31 07:15:00,667.18,638.37,2767.105
2018-03-31 07:30:00,651.15,632.7,2767.105
2018-03-31 07:45:00,635.11,603.57,2767.105
2018-03-31 08:00:00,611.71,561.58,2767.105
2018-03-31 08:15:00,580.96,470.07,2767.105
2018-03-31 08:30:00,550.2,432.2,2767.105
2018-03-31 08:45:00,519.45,428.41,2767.105
2018-03-31 09:00:00,489.25,428.61,2767.105
2018-03-31 09:15:00,459.58,356.01,2767.105
2018-03-31 09:30:00,429.92,323.17,2767.105
2018-03-31 09:45:00,400.26,302.97,2767.105
2018-03-31 10:00:00,377.68,319.56,2767.105
2018-03-31 10:15:00,362.18,318.23,2767.105
2018-03-31 10:30:00,346.67,278.21,2767.105
2018-03-31 10:45:00,331.18,226.29,2767.105
2018-03-31 11:00:00,276.95,170.83,2767.105
2018-03-31 11:15:00,269.45,165.0,2767.105
2018-03-31 11:30:00,261.96,159.96,2767.105
2018-03-31 11:45:00,254.46,156.35,2767.105
2018-03-31 12:00:00,250.69,149.62,2767.105
2018-03-31 12:15:00,250.67,140.86,2767.105
2018-03-31 12:30:00,250.63,151.54,2767.105
2018-03-31 12:45:00,250.61,154.12,2767.105
2018-03-31 13:00:00,249.78,155.2,2767.105
2018-03-31 13:15:00,248.14,157.4,2767.105
2018-03-31 13:30:00,246.51,161.54,2767.105
2018-03-31 13:45:00,244.87,174.3,2767.105
2018-03-31 14:00:00,242.28,171.68,2767.105
2018-03-31 14:15:00,238.74,179.82,2767.105
2018-03-31 14:30:00,235.18,199.24,2767.105
2018-03-31 14:45:00,231.63,211.63,2767.105
2018-03-31 15:00:00,227.85,214.3,2767.105
2018-03-31 15:15:00,223.83,226.8,2767.105
2018-03-31 15:30:00,219.8,206.43,2767.105
2018-03-31 15:45:00,215.78,205.94,2767.105
2018-03-31 16:00:00,221.48,189.81,2767.105
2018-03-31 16:15:00,217.51,200.51,2767.105
2018-03-31 16:30:00,213.52,170.18,2767.105
2018-03-31 16:45:00,209.55,189.45,2767.105
2018-03-31 17:00:00,201.86,199.06,2767.105
2018-03-31 17:15:00,190.47,219.1,2767.105
2018-03-31 17:30:00,179.09,119.38,2767.105
2018-03-31 17:45:00,167.7,163.09,2767.105
2018-03-31 18:00:00,158.29,191.27,2767.105
2018-03-31 18:15:00,150.88,291.76,2767.105
2018-03-31 18:30:00,143.47,324.41,2767.105
2018-03-31 18:45:00,136.06,294.65,2767.105
2018-03-31 19:00:00,130.25,271.21,2767.105
2018-03-31 19:15:00,126.05,250.51,2767.105
2018-03-31 19:30:00,121.86,179.97,2767.105
2018-03-31 19:45:00,117.66,246.12,2767.105
2018-03-31 20:00:00,116.35,308.85,2767.105
2018-03-31 20:15:00,117.92,311.05,2767.105
2018-03-31 20:30:00,119.5,257.14,2767.105
2018-03-31 20:45:00,121.07,192.55,2767.105
2018-03-31 21:00:00,293.19,212.53,2767.105
2018-03-31 21:15:00,287.9,145.73,2767.105
2018-03-31 21:30:00,282.6,135.96,2767.105
2018-03-31 21:45:00,277.32,153.08,2767.105
2018-03-31 22:00:00,275.37,168.66,2767.105
2018-03-31 22:15:00,276.75,186.56,2767.105
2018-03-31 22:30:00,278.13,178.68,2767.105
2018-03-31 22:45:00,279.52,168.75,2767.105
2018-03-31 23:00:00,281.2,173.65,2767.105
2018-03-31 23:15:00,283.18,193.54,2767.105
2018-03-31 23:30:00,285.16,219.66,2767.105
2018-03-31 23:45:00,287.14,179.05,2767.105
2018-01-04 00:00:00,289.81,170.93,2767.105
2018-01-04 00:15:00,293.16,210.08,2767.105
2018-01-04 00:30:00,296.52,219.04,2767.105
2018-01-04 00:45:00,299.87,232.13,2767.105
